product_uid,brand,name,slug,category,product_card_image_path,thumbnail_url
herman_miller:product_models,herman_miller,product models,product_models,,images/herman_miller/product_models/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:renew_sit_to_stand_tables,herman_miller,renew sit to stand tables,renew_sit_to_stand_tables,,images/herman_miller/renew_sit_to_stand_tables/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:rohde_easy_chair,herman_miller,rohde easy chair,rohde_easy_chair,,images/herman_miller/rohde_easy_chair/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:rohde_paldao_table,herman_miller,rohde paldao table,rohde_paldao_table,,images/herman_miller/rohde_paldao_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:sayl_chairs,herman_miller,sayl chairs,sayl_chairs,,images/herman_miller/sayl_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:spout_sit_to_stand_table,herman_miller,spout sit to stand table,spout_sit_to_stand_table,,images/herman_miller/spout_sit_to_stand_table/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:striad_sofas,herman_miller,striad sofas,striad_sofas,,images/herman_miller/striad_sofas/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:verus_chairs,herman_miller,verus chairs,verus_chairs,,images/herman_miller/verus_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:verus_side_chairs,herman_miller,verus side chairs,verus_side_chairs,,images/herman_miller/verus_side_chairs/mh_prd_seating_office_chairs_cosm.jpg.rendition.480.360.jpg,
herman_miller:zeph_chair,herman_miller,zeph chair,zeph_chair,,images/herman_miller/zeph_chair/HMI_Zeph_Chair_Armless_mdl_c.jpg,
herman_miller:zeph_stool,herman_miller,zeph stool,zeph_stool,,images/herman_miller/zeph_stool/th_prd_zeph_chair_office_chair_fn.jpg,
naughtone:knot_side_table,naughtone,knot side table,knot_side_table,,,
